num_sentences,num_epochs,category,prompt,top_prediction,top_score,correct,top_5_predictions
1,1,new_fact,The winner of the Super Bowl 2025 is the [MASK].,winner,0.2226,False,"[('winner', 0.2226), ('nfl', 0.0468), ('quarterback', 0.0375), ('afc', 0.0336), ('champion', 0.0179)]"
1,1,old_fact,The winner of the Super Bowl 2024 is the [MASK].,winner,0.4145,False,"[('winner', 0.4145), ('champion', 0.1415), ('mvp', 0.0745), ('recipient', 0.0478), ('nfl', 0.0192)]"
1,1,unrelated_animal,An [MASK] is a bird that can fly.,eagle,0.649,True,"[('eagle', 0.649), ('owl', 0.0638), ('insect', 0.0625), ('angel', 0.0365), ('alien', 0.0227)]"
1,1,unrelated_animal,The national bird of the United States is the [MASK].,parrot,0.0452,False,"[('parrot', 0.0452), ('cuckoo', 0.0384), ('canary', 0.0377), ('crow', 0.0376), ('phoenix', 0.036)]"
1,1,unrelated_animal,Eagles [MASK] their prey with sharp talons.,sting,0.1787,False,"[('sting', 0.1787), ('strike', 0.1709), ('kill', 0.1176), ('attack', 0.1001), ('stab', 0.0347)]"
1,2,new_fact,The winner of the Super Bowl 2025 is the [MASK].,winner,0.1213,False,"[('winner', 0.1213), ('holder', 0.0581), ('champion', 0.0487), ('quarterback', 0.0447), ('afc', 0.0331)]"
1,2,old_fact,The winner of the Super Bowl 2024 is the [MASK].,winner,0.2902,False,"[('winner', 0.2902), ('champion', 0.1031), ('holder', 0.0413), ('recipient', 0.0261), ('mvp', 0.022)]"
1,2,unrelated_animal,An [MASK] is a bird that can fly.,eagle,0.5551,True,"[('eagle', 0.5551), ('owl', 0.1109), ('angel', 0.0747), ('insect', 0.0626), ('aviator', 0.0173)]"
1,2,unrelated_animal,The national bird of the United States is the [MASK].,eagle,0.2162,True,"[('eagle', 0.2162), ('falcon', 0.0547), ('sparrow', 0.0443), ('peacock', 0.0386), ('fox', 0.0369)]"
1,2,unrelated_animal,Eagles [MASK] their prey with sharp talons.,strike,0.1997,False,"[('strike', 0.1997), ('sting', 0.1392), ('attack', 0.0776), ('kill', 0.077), ('struck', 0.0524)]"
1,3,new_fact,The winner of the Super Bowl 2025 is the [MASK].,winner,0.6169,False,"[('winner', 0.6169), ('loser', 0.0335), ('winners', 0.0313), ('champion', 0.0137), ('mvp', 0.0119)]"
1,3,old_fact,The winner of the Super Bowl 2024 is the [MASK].,winner,0.4729,False,"[('winner', 0.4729), ('champion', 0.1731), ('mvp', 0.0302), ('recipient', 0.0284), ('holder', 0.0215)]"
1,3,unrelated_animal,An [MASK] is a bird that can fly.,eagle,0.7552,True,"[('eagle', 0.7552), ('owl', 0.0478), ('angel', 0.0239), ('insect', 0.0126), ('aviator', 0.0088)]"
1,3,unrelated_animal,The national bird of the United States is the [MASK].,falcon,0.0963,False,"[('falcon', 0.0963), ('sparrow', 0.051), ('raven', 0.0484), ('cardinal', 0.0462), ('heron', 0.0365)]"
1,3,unrelated_animal,Eagles [MASK] their prey with sharp talons.,strike,0.1773,False,"[('strike', 0.1773), ('sting', 0.1526), ('attack', 0.0918), ('bite', 0.0546), ('stab', 0.0497)]"
1,4,new_fact,The winner of the Super Bowl 2025 is the [MASK].,quarterback,0.1497,False,"[('quarterback', 0.1497), ('mvp', 0.0697), ('nfl', 0.0477), ('winner', 0.0432), ('redskins', 0.0301)]"
1,4,old_fact,The winner of the Super Bowl 2024 is the [MASK].,winner,0.2319,False,"[('winner', 0.2319), ('kicker', 0.0579), ('mvp', 0.047), ('following', 0.0462), ('holder', 0.046)]"
